Transaction_ID,Customer_Name,Customer_ID,UPI_ID,Bank_Name,Transaction_Amount,Transaction_Date,Transaction_Time,Merchant_Name,Merchant_UPI_ID,Location_City,Location_State,Device_ID,IP_Address,Transaction_Type,Channel,Is_Fraudulent,Fraud_Type,Risk_Score,Detection_Flag
TXN00021,Devansh Sodhi,CUST0021,agatekiara@upi,Axis Bank,11115.02,1/19/2025,7:53:19,Hayer Ltd,and Sons@upi,Kavali,Bihar,d569fdb9-2f83-413b-a0ce-71370eac4c1d,175.184.244.80,Merchant Payment,Web,0,None,66,Clear
TXN00022,Yakshit Chauhan,CUST0022,dhans@upi,HDFC,8136.17,1/28/2025,12:37:01,Mann-Gala,LLC@upi,Suryapet,Odisha,4cfb16af-8f8e-4ce4-b54e-ff0753c5af97,140.167.55.127,Refund,QR Code,0,None,62,Clear
TXN00023,Raunak Hayer,CUST0023,jiya58@upi,Axis Bank,44827.33,2/20/2025,9:49:25,Rajagopal-Bhatt,LLC@upi,Tezpur,Meghalaya,ee787b18-8841-4d06-9953-282842c0b74f,144.74.238.130,Bill Payment,Web,0,None,9,Clear
TXN00024,Ela Shroff,CUST0024,yuvraj-09@upi,Axis Bank,37896.31,7/22/2025,19:46:44,Keer Ltd,and Sons@upi,Nangloi Jat,Goa,027d81d3-38f0-4f84-b04a-7174ee4b7c08,96.39.93.244,Recharge,Mobile App,0,None,31,Clear
TXN00025,Yasmin Gaba,CUST0025,chauhandiya@upi,BOB,24024.65,5/21/2025,8:12:33,Krishnan LLC,PLC@upi,Dehri,Arunachal Pradesh,74b05f18-a5e3-4607-be5c-97e8c1df4026,167.203.47.215,Peer-to-Peer,API,0,None,38,Clear
TXN00026,Jhanvi Kade,CUST0026,divij81@upi,ICICI,28413.6,5/20/2025,19:17:00,Kapadia-Dani,Group@upi,Visakhapatnam,Tripura,2a152224-4de7-422d-9cb8-dfdc3fe44cf4,181.28.34.207,Bill Payment,QR Code,0,None,61,Clear
TXN00027,Aradhya Chauhan,CUST0027,sridharriya@upi,Canara Bank,15670.04,2/23/2025,9:11:58,Kari-Chanda,Ltd@upi,Tenali,Gujarat,38678614-de3e-465b-990d-1721286c08cc,89.70.15.49,Recharge,USSD,0,None,12,Clear
TXN00028,Yuvraj  Sundaram,CUST0028,swaminathanvardaniya@upi,HDFC,12070.82,1/26/2025,18:51:34,"Badal, Krish and Ravel",and Sons@upi,Kurnool,Meghalaya,936ed421-63b8-43b8-a2fe-03998378ad9a,4.38.111.190,Refund,USSD,0,None,39,Clear
TXN00029,Shanaya Boase,CUST0029,kiaramallick@upi,HDFC,14365.5,7/21/2025,5:20:39,Krishnamurthy-Bahl,LLC@upi,Pali,Chhattisgarh,245e1f59-01ec-48cf-9356-8ea220521d9d,69.49.197.42,Peer-to-Peer,API,0,None,50,Clear
TXN00030,Krish Bhatia,CUST0030,shanaya12@upi,Axis Bank,39902.2,2/17/2025,15:21:20,"Mammen, Dhar and Ganesan",Inc@upi,Farrukhabad,Goa,ffc3309e-7922-49d9-a99d-fd671aa0f021,138.72.79.24,Refund,Mobile App,0,None,16,Clear
TXN00031,Rati Tank,CUST0031,duttamehul@upi,Canara Bank,3205.85,3/14/2025,10:31:55,"Lad, Jaggi and Kapadia",Ltd@upi,Chapra,Assam,4f220573-b9e2-4564-b7b0-99ee68288106,54.230.23.33,Bill Payment,QR Code,0,None,11,Clear
TXN00032,Raghav Bawa,CUST0032,achakraborty@upi,HDFC,8469.91,3/25/2025,13:48:41,Dubey-Sha,and Sons@upi,Barasat,Gujarat,8209fc19-416d-4d05-bd47-ea7910a6ed1d,198.90.85.118,Recharge,USSD,0,None,51,Clear
TXN00033,Ritvik Mane,CUST0033,iverma@upi,HDFC,12643.04,4/29/2025,7:05:34,Chahal Inc,LLC@upi,Pondicherry,Himachal Pradesh,7b11f48c-399f-49a9-a5b0-9b14fc724996,204.76.50.33,Recharge,USSD,0,None,48,Clear
TXN00034,Nayantara Kari,CUST0034,jchandran@upi,PNB,39514.16,7/14/2025,10:01:05,Vasa-Krish,PLC@upi,New Delhi,Telangana,a2e48e2b-6dd6-4dde-9221-e80b14728b5b,217.251.210.211,Bill Payment,API,0,None,40,Clear
TXN00035,Kismat Halder,CUST0035,siyaagate@upi,BOB,996.95,4/30/2025,2:03:20,Upadhyay-Dubey,LLC@upi,Orai,Bihar,f67c0039-c661-437f-a4d8-cfef5a2342b9,205.136.167.203,Refund,USSD,0,None,68,Clear
TXN00036,Shaan Talwar,CUST0036,banikzeeshan@upi,BOB,37097.29,1/31/2025,12:42:53,Gola Ltd,Inc@upi,North Dumdum,Sikkim,740d08b4-670d-49f0-976d-908ee39808a5,61.166.79.236,Recharge,USSD,0,None,31,Clear
TXN00037,Nitya Aggarwal,CUST0037,olad@upi,Axis Bank,48130.53,7/14/2025,17:31:52,Sarkar Group,Inc@upi,Bhilai,Mizoram,ce349fd7-ce85-4d81-8dbd-9dbb25b62951,40.116.83.179,Merchant Payment,Web,0,None,34,Clear
TXN00038,Veer Buch,CUST0038,hrishita22@upi,SBI,35378.32,8/1/2025,10:40:10,Ghosh-Kapoor,PLC@upi,Jaunpur,Kerala,44bffb4c-7642-4415-9a04-f1f5b9c93f35,146.165.233.207,Bill Payment,QR Code,1,App Cloning,77,Flagged
TXN00039,Ritvik Lalla,CUST0039,faiyaz31@upi,Canara Bank,11794.95,1/28/2025,3:53:17,"Luthra, Rau and Chowdhury",PLC@upi,Varanasi,Goa,4dca71be-7ace-41af-841e-796a7785721c,192.139.192.24,Recharge,Web,0,None,34,Clear
TXN00040,Baiju Dar,CUST0040,ztara@upi,PNB,14609.12,8/11/2025,20:43:08,"Ranganathan, Konda and Sood",PLC@upi,Kavali,Maharashtra,c43ece14-b18e-47d6-9963-9434fb6389aa,223.63.209.226,Merchant Payment,API,0,None,63,Clear
TXN00041,Adira Kumer,CUST0041,vkata@upi,SBI,5756.43,8/8/2025,19:15:42,"Suresh, Grover and Barman",LLC@upi,Berhampur,Karnataka,5baf084e-f4cd-471f-abd0-7c160fc2bd14,154.158.137.24,Recharge,API,1,None,83,Flagged
TXN00042,Raunak Saxena,CUST0042,qtailor@upi,PNB,16271.71,8/10/2025,18:02:36,Dhawan-Kalita,Inc@upi,Pali,Andhra Pradesh,c902fcf4-1273-4c8c-b255-bad774639a84,220.50.148.174,Refund,Web,0,None,34,Clear
TXN00043,Rohan Ray,CUST0043,laldiya@upi,Canara Bank,12208.25,3/11/2025,22:26:50,Subramanian LLC,LLC@upi,Giridih,Goa,0e93e0c1-33a4-4151-abda-c60d214672e3,137.234.163.94,Refund,QR Code,0,None,59,Clear
TXN00044,Mohanlal Madan,CUST0044,elasampath@upi,HDFC,1910.77,8/5/2025,5:19:34,Sastry and Sons,Inc@upi,Tumkur,Madhya Pradesh,b47b10eb-9e0b-4133-b187-3f1d52035f2a,215.16.70.156,Merchant Payment,USSD,0,None,53,Clear
TXN00045,Jivika Deo,CUST0045,ritvikmannan@upi,Canara Bank,3686.01,8/23/2025,19:02:55,Koshy-Biswas,PLC@upi,Patiala,Tamil Nadu,273542f8-81ef-4cc1-a768-6679192738d0,222.43.161.240,Peer-to-Peer,Mobile App,0,None,69,Clear
TXN00046,Jivika Chad,CUST0046,oghosh@upi,HDFC,44785.88,2/23/2025,7:34:00,"Sehgal, Yadav and Yohannan",LLC@upi,Rajkot,Andhra Pradesh,b50824cf-3d00-44fb-9ac2-8b3d62dc4048,200.120.67.134,Merchant Payment,API,0,None,41,Clear
TXN00047,Sumer Banik,CUST0047,chandraarnav@upi,SBI,39446.67,7/9/2025,0:40:29,Saxena-Samra,Group@upi,Dehradun,Haryana,82e153cc-36a1-45e1-a17c-09be98bcf2c6,134.200.155.33,Recharge,API,0,None,69,Clear
TXN00048,Ryan Shroff,CUST0048,zaramandal@upi,SBI,38955.08,1/8/2025,20:11:43,Trivedi-Karan,LLC@upi,South Dumdum,Telangana,2f4c7495-9fc3-46b7-b7c0-1025a7503b62,159.232.217.17,Merchant Payment,QR Code,0,None,38,Clear
TXN00049,Nirvi Ramachandran,CUST0049,kumeremir@upi,ICICI,7217.85,5/12/2025,6:05:58,Mander-Kibe,Ltd@upi,Ranchi,Andhra Pradesh,a86b183d-103b-4e10-923f-1e0d29b6263b,158.169.52.140,Refund,API,0,None,61,Clear
TXN00050,Lakshit Shetty,CUST0050,vardaniya05@upi,BOB,29394.99,6/28/2025,6:20:01,Bhalla PLC,and Sons@upi,Sangli-Miraj & Kupwad,Chhattisgarh,55d63601-e671-4fe5-98fb-e43ef6869f6b,136.139.84.94,Recharge,Web,0,None,6,Clear
TXN00051,Tara Kothari,CUST0051,aaryahikata@upi,Axis Bank,46149.14,4/13/2025,20:41:24,Ramesh-Mammen,Group@upi,Kolhapur,Chhattisgarh,bd26745e-5a37-43da-b74c-8a52fc5bda21,219.55.142.32,Peer-to-Peer,Mobile App,0,None,11,Clear
TXN00052,Kabir Madan,CUST0052,mandersahil@upi,HDFC,28444.43,3/2/2025,3:01:18,"Dugar, Bhalla and Manne",PLC@upi,Sambalpur,Kerala,05eaed38-616b-4b60-bbc4-808494c5f176,114.167.157.28,Bill Payment,Mobile App,0,None,36,Clear
TXN00053,Tejas Grewal,CUST0053,gokul86@upi,Canara Bank,37039.49,3/30/2025,23:26:03,"Sule, Sen and Rout",Ltd@upi,Sangli-Miraj & Kupwad,Assam,33676b88-c0e9-4146-be98-227d114b83c4,167.56.127.187,Refund,Mobile App,0,None,31,Clear
TXN00054,Farhan Trivedi,CUST0054,dhanukbhardwaj@upi,BOB,38464.74,6/26/2025,11:18:42,Bhasin Ltd,Ltd@upi,Bhiwandi,Manipur,d9c5a683-cc8b-4c4a-91db-d25b969b9e76,18.65.229.30,Bill Payment,QR Code,0,None,23,Clear
TXN00055,Mamooty Dutta,CUST0055,anay13@upi,PNB,29177.87,8/31/2025,1:53:44,Jaggi-Rout,and Sons@upi,Giridih,Himachal Pradesh,f8cbddec-cb99-4662-bc82-943f7fa72ea2,220.235.140.139,Peer-to-Peer,Web,0,None,60,Clear
TXN00056,Kartik Khanna,CUST0056,siyabose@upi,HDFC,711.61,1/20/2025,3:09:51,"Hegde, Bhatti and Tank",Group@upi,Tiruvottiyur,Telangana,4d81c584-4ad8-4b39-a341-d87773a8df95,40.231.94.178,Refund,API,0,None,35,Clear
TXN00057,Shray Anne,CUST0057,samiha18@upi,ICICI,39524.7,1/8/2025,1:03:03,"Rajagopal, Chaudhuri and Varty",LLC@upi,Satara,Assam,1349e9c1-1cb1-469d-84c1-2e585774dc82,201.66.34.9,Bill Payment,Mobile App,1,Unauthorized Access,70,Flagged
TXN00058,Hrishita Bala,CUST0058,aptevardaniya@upi,HDFC,16611.62,7/29/2025,0:39:39,Agrawal-Bhasin,Ltd@upi,Rajpur Sonarpur,Punjab,5889ba33-abe3-420a-bdbe-dfcca8b7e62a,209.126.169.191,Peer-to-Peer,QR Code,1,None,76,Flagged
TXN00059,Lagan Choudhury,CUST0059,neysa27@upi,BOB,3830.63,5/13/2025,6:46:00,"Ganesh, Sura and Ganguly",and Sons@upi,Durg,Haryana,1beaad2c-8164-4e34-ae7a-805a26779c48,172.186.223.104,Peer-to-Peer,Mobile App,0,None,57,Clear
TXN00060,Vidur Butala,CUST0060,zsahni@upi,HDFC,30514.05,1/24/2025,13:36:18,Rajagopalan Ltd,PLC@upi,Nagpur,Rajasthan,fe2f7994-079e-4d1e-bd8f-5ef27b57d15a,208.142.188.250,Recharge,Mobile App,0,None,8,Clear
TXN00061,Samar Mand,CUST0061,tcomar@upi,BOB,12482.32,7/9/2025,0:38:33,"Bose, Mahajan and Doctor",Group@upi,Madurai,Jharkhand,5c5a24c1-1d4a-49c6-b8e8-f7f1dcd9091e,188.100.194.62,Bill Payment,Mobile App,0,None,32,Clear
TXN00062,Riaan Bora,CUST0062,ojasdeep@upi,Axis Bank,47009.12,2/16/2025,19:12:11,Bandi Ltd,Group@upi,Bihar Sharif,Punjab,24b651ea-2600-4c0c-bc26-18cdb1dd5264,181.9.247.85,Refund,USSD,0,None,33,Clear
TXN00063,Aarav Dalal,CUST0063,bailmishti@upi,HDFC,28224.87,7/22/2025,5:23:04,"Sen, Kohli and Srinivas",and Sons@upi,Guwahati,Manipur,13777b43-da7f-4663-8a72-a543ddc76878,6.129.228.43,Refund,QR Code,0,None,8,Clear
TXN00064,Renee Kamdar,CUST0064,bansalarmaan@upi,HDFC,42586.98,3/4/2025,13:49:29,"Kari, Warrior and Dhingra",Group@upi,Jamshedpur,Uttarakhand,de4578f9-1671-43ee-b76e-8aa1abb3324a,186.124.77.219,Peer-to-Peer,Mobile App,0,None,14,Clear
TXN00065,Bhamini Hegde,CUST0065,janijiya@upi,Canara Bank,5115.64,4/19/2025,14:58:29,Saraf Group,Inc@upi,Kalyan-Dombivli,Odisha,85543a5d-29f4-429f-8f06-3420f0dc70ad,164.35.210.45,Peer-to-Peer,QR Code,0,None,59,Clear
TXN00066,Kiara Biswas,CUST0066,anya22@upi,HDFC,18036.15,4/26/2025,17:00:38,"Johal, Kala and Uppal",Inc@upi,Muzaffarnagar,Gujarat,f6987795-4c96-4fd4-9b2e-9b85ca1f753e,218.110.252.247,Merchant Payment,USSD,0,None,13,Clear
TXN00067,Shlok Seshadri,CUST0067,stuvanswamy@upi,BOB,23990.68,3/30/2025,15:43:24,Manda-Mammen,PLC@upi,Gaya,Arunachal Pradesh,71b2fbef-b48a-42c5-9508-044b227ae2de,159.205.208.48,Refund,Mobile App,1,App Cloning,73,Flagged
TXN00068,Piya Mall,CUST0068,dgokhale@upi,HDFC,49506.2,8/15/2025,7:13:23,Ray Inc,Inc@upi,Jamalpur,Kerala,809a3179-d66e-4d94-822a-1a0925456390,35.128.128.124,Bill Payment,QR Code,1,Fake QR Code,89,Flagged
TXN00069,Rania Mahal,CUST0069,ladanvi@upi,BOB,33123.71,7/22/2025,14:53:33,Wadhwa Ltd,LLC@upi,Uluberia,Bihar,74863b6b-df6a-467b-bb7f-16fcc458bbe4,208.88.223.162,Bill Payment,Web,0,None,55,Clear
TXN00070,Nirvaan Agate,CUST0070,tgala@upi,SBI,25980.71,5/16/2025,10:25:37,Sengupta Ltd,PLC@upi,Udaipur,Manipur,d9273749-ec62-4a93-ab4b-dbfc549b07b3,214.95.239.55,Merchant Payment,Web,0,None,24,Clear
TXN00071,Jivika Hora,CUST0071,aradhyabhatti@upi,SBI,19910.09,1/14/2025,19:21:24,Iyengar-Yogi,Group@upi,Nangloi Jat,Bihar,a2866920-ae6f-4e27-a532-1f9abfc83c17,197.53.46.102,Bill Payment,API,0,None,27,Clear
TXN00072,Jayesh Arya,CUST0072,ela98@upi,ICICI,43564.07,3/26/2025,16:52:10,"Sheth, Saini and Tata",Inc@upi,Sagar,Maharashtra,00939e14-6e86-4767-aee4-682f1e1db6c3,117.76.183.10,Bill Payment,Mobile App,1,Unauthorized Access,77,Flagged
TXN00073,Kiaan Ganguly,CUST0073,bajajzaina@upi,SBI,34428.75,1/23/2025,2:08:25,"Malhotra, Sehgal and Kothari",PLC@upi,Udaipur,Manipur,226009a1-e0e4-4888-96e7-be34da832ea3,35.27.168.223,Recharge,Mobile App,0,None,37,Clear
TXN00074,Rania Grover,CUST0074,bhavinganguly@upi,SBI,31608.99,7/10/2025,14:03:01,"Mann, Divan and Ravel",Inc@upi,Tirupati,Uttarakhand,b5c339b7-7d46-4bc6-ad40-0fdda38f025b,15.159.110.247,Recharge,Mobile App,0,None,60,Clear
TXN00075,Keya Badami,CUST0075,indrans32@upi,PNB,22589.21,8/11/2025,14:07:09,Bali-Mahal,Group@upi,Kharagpur,Andhra Pradesh,bbda6a43-2261-4997-a99e-d6ed55a531de,168.22.123.175,Peer-to-Peer,Mobile App,0,None,0,Clear
TXN00076,Yasmin Keer,CUST0076,khushikala@upi,HDFC,34816.31,7/16/2025,15:48:14,Shukla-Salvi,Group@upi,Bathinda,Maharashtra,12488d6d-a4ca-440e-8500-0a8dfb869e6a,203.194.200.151,Bill Payment,Web,1,Fake QR Code,78,Flagged
TXN00077,Divit Ghose,CUST0077,deshmukhehsaan@upi,BOB,7550.77,6/17/2025,16:29:23,Mani LLC,LLC@upi,Panihati,West Bengal,b29efa77-b761-4321-b780-d1fc2c2f96df,210.88.202.187,Refund,Mobile App,0,None,50,Clear
TXN00078,Azad Mahal,CUST0078,nsetty@upi,SBI,18632.07,3/29/2025,1:48:08,Ravel Inc,Group@upi,Rampur,Meghalaya,da1b1d90-333f-409c-b3ef-be6ce54c4c79,40.96.149.4,Refund,USSD,0,None,40,Clear
TXN00079,Devansh Aurora,CUST0079,mannat35@upi,SBI,8462.06,9/1/2025,13:33:34,"Bhattacharyya, Dhar and Subramanian",LLC@upi,Unnao,Punjab,e74a89d4-0954-4333-9124-a5cf54ff529c,171.130.202.185,Merchant Payment,Mobile App,0,None,31,Clear
TXN00080,Riya Chana,CUST0080,khareira@upi,SBI,48249.05,5/16/2025,8:30:56,"Wable, Varma and Chaudhry",LLC@upi,Panchkula,Kerala,0c958d6b-70fc-44d7-9690-56c527f4d2d6,41.14.118.32,Refund,Mobile App,0,None,1,Clear
TXN00081,Kavya Badal,CUST0081,udube@upi,HDFC,41067.49,5/22/2025,15:43:03,"Kohli, Jhaveri and Kar",Ltd@upi,Dibrugarh,Haryana,922cc96c-1cfb-4818-a922-de5ac7d9b450,150.154.187.204,Bill Payment,Mobile App,0,None,7,Clear
TXN00082,Saksham Agate,CUST0082,sraman@upi,Canara Bank,36551.42,6/27/2025,0:53:32,Sharma Ltd,PLC@upi,Guna,Uttar Pradesh,0d2218d8-5584-4808-9bc8-69c79296b951,185.1.206.68,Bill Payment,Web,1,Phishing,77,Flagged
TXN00083,Arnav Karnik,CUST0083,pdey@upi,Axis Bank,2299,3/29/2025,14:45:47,Jha Inc,Inc@upi,Bhagalpur,Odisha,1e5303dc-7bec-4006-a305-d6c6605b03b2,142.85.227.114,Bill Payment,Web,0,None,13,Clear
TXN00084,Seher Choudhry,CUST0084,anvikibe@upi,Axis Bank,35192.79,2/8/2025,20:07:31,Lad-Mannan,LLC@upi,Malda,Manipur,ddd69381-42bf-4e4a-9656-11c6a472e372,150.31.134.106,Peer-to-Peer,USSD,0,None,54,Clear
TXN00085,Ira Mall,CUST0085,diyagola@upi,BOB,32399.74,5/11/2025,18:24:10,"Chad, Choudhary and Krish",Inc@upi,Bhusawal,Manipur,73a07c3b-ca0b-4b2d-9352-6323ebd9e356,13.79.232.14,Refund,Web,1,Unauthorized Access,79,Flagged
TXN00086,Himmat Malhotra,CUST0086,doctorryan@upi,SBI,12583.84,9/1/2025,8:35:04,Sehgal-Kurian,PLC@upi,Shimoga,Sikkim,dcec6943-4adb-4a64-8997-82d16b53e2e7,148.78.125.76,Bill Payment,API,0,None,64,Clear
TXN00087,Hansh Dugal,CUST0087,oorjasachdeva@upi,HDFC,29083.44,8/10/2025,22:31:21,Grover Group,PLC@upi,Tirunelveli,Kerala,e208c0a2-f257-4011-a453-6b4f02479694,206.164.193.253,Bill Payment,Mobile App,1,Fake QR Code,70,Flagged
TXN00088,Alia Saran,CUST0088,htandon@upi,SBI,9448.08,2/4/2025,4:11:28,Dayal-Shere,and Sons@upi,Patna,Uttarakhand,7783d8e0-92cd-447c-8197-62f608d297e2,191.189.135.22,Bill Payment,USSD,1,SIM Swap,79,Flagged
TXN00089,Zain Tank,CUST0089,shanaya92@upi,Axis Bank,8237.03,6/4/2025,4:05:53,"Thakur, Contractor and Bahl",Inc@upi,Bhagalpur,Maharashtra,c08be56d-139b-435d-b8fe-4b038b8d704e,153.220.93.121,Refund,Web,0,None,57,Clear
TXN00090,Vanya Rajagopal,CUST0090,sankarmanjari@upi,Canara Bank,23139.27,7/29/2025,19:47:45,Mann Ltd,Inc@upi,Danapur,Assam,8ef0e9f0-0475-495b-a76f-aa92e2613ccd,135.29.186.81,Merchant Payment,USSD,0,None,47,Clear
TXN00091,Hunar Bandi,CUST0091,schaudhary@upi,SBI,31523.26,7/22/2025,15:32:54,Mann Ltd,Group@upi,Bangalore,Kerala,e47b0056-96d8-4798-9493-5ac23ee5f8f4,207.154.133.75,Bill Payment,QR Code,0,None,65,Clear
TXN00092,Aarna Arora,CUST0092,senriaan@upi,PNB,8164.11,8/16/2025,5:53:47,"Tak, Bajaj and Wali",and Sons@upi,Miryalaguda,Karnataka,65f1862c-6b48-4a5f-abf6-b56c87bebc86,27.100.163.152,Refund,QR Code,0,None,60,Clear
TXN00093,Alisha Bala,CUST0093,neysasathe@upi,SBI,38411.66,1/12/2025,1:37:53,Garde-Dhaliwal,Inc@upi,Katihar,Assam,8c5d6516-64d6-463c-8345-262e264184fa,164.214.3.81,Peer-to-Peer,Mobile App,0,None,0,Clear
TXN00094,Aaryahi Rege,CUST0094,fsanghvi@upi,PNB,7989.28,8/13/2025,16:19:43,Shetty LLC,Group@upi,Ahmedabad,Chhattisgarh,473b3615-dda2-4a7e-ae0e-1ac219a623d4,152.131.10.195,Merchant Payment,USSD,0,None,46,Clear
TXN00095,Mehul Rege,CUST0095,ivan85@upi,Canara Bank,45087.19,5/6/2025,11:49:37,Deshpande PLC,Group@upi,Thrissur,Arunachal Pradesh,0b4cb4bd-ca7a-4e4f-ba61-9f5928d4f883,63.1.242.145,Merchant Payment,API,0,None,25,Clear
TXN00096,Bhavin Karan,CUST0096,rbhagat@upi,SBI,6610.77,4/8/2025,5:03:02,"Comar, Shan and Shankar",and Sons@upi,Thrissur,Chhattisgarh,f0f3cf2c-4fc1-4bb6-aa55-1c54f0481ebd,142.129.163.165,Refund,USSD,0,None,65,Clear
